OLE,UNITED STATES,MUNICIPAL
OLF,UNITED STATES,INTERNATIONAL
OLH,UNITED STATES,OLD HARBOR SPB
OLI,ICELAND,RIF
OLJ,VANUATU,OLPOI
OLK,PARAGUAY,FUERTE OLIMPO
OLM,UNITED STATES,OLYMPIA
OLN,ARGENTINA,COLONIA SARMIENTO
OLO,CZECH REPUBLIC,OLOMOUC
OLP,AUSTRALIA,OLYMPIC DAM
OLQ,PAPUA NEW GUINEA,OLSOBIP
OLS,UNITED STATES,INTERNATIONAL
OLU,UNITED STATES,COLUMBUS MUNICIPAL
OLV,UNITED STATES,OLIVE BRANCH ARPT
OLY,UNITED STATES,OLNEY-NOBLE
OMA,UNITED STATES,EPPLEY AIRFIELD
OMB,GABON,OMBOUE
OMC,PHILIPPINES,ORMOC
OMD,NAMIBIA,ORANJEMUND
OME,UNITED STATES,NOME
OMF,JORDAN,KING HUSSEIN
OMG,NAMIBIA,OMEGA
OMH,IRAN,URMIEH
OMI,IRAN,OMIDIEH
OMJ,JAPAN,OMURA
OMK,UNITED STATES,MUNICIPAL
OML,PAPUA NEW GUINEA,OMKALAI
OMM,OMAN,MARMUL
OMN,INDIA,OSMANABAD
OMO,BOSNIA AND HERZEGOVINA,MOSTAR
OMR,ROMANIA,ORADEA
OMS,RUSSIAN FEDERATION,OMSK
OMY,CAMBODIA,ODDOR MEANCHE
ONA,UNITED STATES,MUNICIPAL
ONB,PAPUA NEW GUINEA,ONONGE
OND,NAMIBIA,ONDANGWA
ONE,SOLOMON ISLANDS,ONEPUSU
ONG,AUSTRALIA,MORNINGTON
ONH,UNITED STATES,MUNICIPAL
ONI,INDONESIA,MOANAMANI
ONJ,JAPAN,ODATE NOSHIRO
ONL,UNITED STATES,MUNICIPAL
ONM,UNITED STATES,SOCORRO
ONN,UNITED STATES,ONION BAY
ONO,UNITED STATES,ONTARIO MUNICIPAL AIRPORT
ONP,UNITED STATES,NEWPORT
ONQ,TURKEY,ZONGULDAK
ONR,AUSTRALIA,MONKIRA
ONS,AUSTRALIA,ONSLOW
ONT,UNITED STATES,ONTARIO INTERNATIONAL
ONU,FIJI,ONO I LAU
ONX,PANAMA,ENRIQUE ADOLFO JIMENEZ
ONY,UNITED STATES,OLNEY
OOA,UNITED STATES,MUNICIPAL
OOK,UNITED STATES,TOKSOOK BAY
OOL,AUSTRALIA,GOLD COAST (COOLANGATTA)
OOM,AUSTRALIA,COOMA
OOR,AUSTRALIA,MOORABERREE
OOT,KIRIBATI,ONOTOA
OPA,ICELAND,KOPASKER
OPB,PAPUA NEW GUINEA,OPEN BAY
OPF,UNITED STATES,OPA LOCKA
OPI,AUSTRALIA,OENPELLI
OPL,UNITED STATES,ST LANDRY PARISH
OPO,PORTUGAL,FRANCISCO SA CARNEIRO
OPS,BRAZIL,SINOP
OPU,PAPUA NEW GUINEA,BALIMO
OPW,NAMIBIA,OPUWA
ORA,ARGENTINA,ORAN
ORB,SWEDEN,OREBRO-BOFORS
ORC,COLOMBIA,OROCUE
ORD,UNITED STATES,CHICAGO OHARE INTERNATIONAL
ORE,FRANCE,ORLEANS
ORF,UNITED STATES,NORFOLK INTERNATIONAL AIRPORT
ORG,SURINAME,ZORG EN HOOP
ORH,UNITED STATES,WORCESTER REGIONAL AIRPORT
ORI,UNITED STATES,PORT LIONS SPB
ORJ,GUYANA,ORINDUIK
ORK,IRELAND,CORK
ORL,UNITED STATES,ORLANDO EXECUTIVE
ORM,UNITED KINGDOM,NORTHAMPTON
ORN,ALGERIA,ES SENIA
ORO,HONDURAS,YORO
ORP,BOTSWANA,ORAPA
ORQ,UNITED STATES,HELIPORT
ORR,AUSTRALIA,YORKETOWN
ORS,AUSTRALIA,WATERPORT
ORT,UNITED STATES,NORTHWAY
ORU,BOLIVIA,ORURO
ORV,UNITED STATES,CURTIS MEMORIAL
ORW,PAKISTAN,ORMARA
ORX,BRAZIL,ORIXIMINA
ORY,FRANCE,ORLY
ORZ,BELIZE,ORANGE WALK
OSB,UNITED STATES,OSAGE BEACH
OSC,UNITED STATES,WURTSMITH AFB
OSD,SWEDEN,ERE VSTERSUND AIRPORT
OSE,PAPUA NEW GUINEA,OMORA
OSG,PAPUA NEW GUINEA,OSSIMA
OSH,UNITED STATES,WITTMAN FIELD
OSI,CROATIA (HRVATSKA),OSIJEK
OSK,SWEDEN,OSKARSHAMN
OSL,NORWAY,"OSLO AIRPORT, GARDERMOEN"
OSM,IRAQ,MOSUL
OSN,KOREA (SOUTH),OSAN AB
OSO,IRAQ,SULAIMANIYAH INTERNATIONAL
OSP,POLAND,REDZIKOWO
OSR,CZECH REPUBLIC,MOSNOV
OSS,KYRGYZSTAN,OSH INTERNATIONAL AIRPORT
OST,BELGIUM,OSTEND/BRUGES INTERNATIONAL AIRPORT
OSU,UNITED STATES,OHIO STATE UNIVERSITY
OSW,RUSSIAN FEDERATION,ORSK
OSX,UNITED STATES,ATTALA COUNTY
OSY,NORWAY,NAMSOS
OSZ,POLAND,KOSZALIN
OTA,ETHIOPIA,MOTA
OTC,CHAD,BOL
OTD,PANAMA,CONTADORA
OTG,UNITED STATES,WORTHINGTON
OTH,UNITED STATES,NORTH BEND
OTI,INDONESIA,MOROTAI ISLAND
OTJ,NAMIBIA,OTJIWARONGO
OTL,MAURITANIA,BOUTILIMIT
OTM,UNITED STATES,INDUSTRIAL
OTN,UNITED STATES,GREEN
OTO,UNITED STATES,VOR
OTP,ROMANIA,HENRI COANDA INTERNATIONAL
OTR,COSTA RICA,COTO 47
OTS,UNITED STATES,ANACORTES
OTU,COLOMBIA,OTU
OTV,SOLOMON ISLANDS,ONTONG JAVA
OTY,PAPUA NEW GUINEA,ORIA
OTZ,UNITED STATES,KOTZEBUE
OUA,BURKINA FASO,OUAGADOUGOU
OUD,MOROCCO,LES ANGADES
OUE,CONGO,OUESSO
OUG,BURKINA FASO,OUAHIGOUYA
OUH,SOUTH AFRICA,OUDTSHOORN
OUI,LAOS,BAN HOUEI
OUK,UNITED KINGDOM,OUTER SKERRIES
OUL,FINLAND,OULU
OUM,CHAD,OUM HADJER
OUN,UNITED STATES,MAX WESTHEIMER
OUR,CAMEROON,BATOURI
OUS,BRAZIL,OURINHOS
OUT,CHAD,BOUSSO
OUU,GABON,OUANGA
OUZ,MAURITANIA,ZOUERATE
OVA,MADAGASCAR,BEKILY
OVB,RUSSIAN FEDERATION,TOLMACHEVO
OVD,SPAIN,ASTURIAS
OVE,UNITED STATES,OROVILLE
OVG,SOUTH AFRICA,OVERBERG (FAOB)
OVL,CHILE,OVALLE
OVR,ARGENTINA,OLAVARRIA
OWA,UNITED STATES,OWATONNA
OWB,UNITED STATES,DAVIESS COUNTY
OWD,UNITED STATES,MEMORIAL
OWE,GABON,OWENDO
OWK,UNITED STATES,CENTRAL MAINE AIRPORT OF NORRIDGEWOCK
OXB,GUINEA-BISSAU,OSVALDO VIEIRA INTERNATIONAL
OXC,UNITED STATES,WATERBURY-OXFORD
OXD,UNITED STATES,MIAMI UNIVERSITY
OXF,UNITED KINGDOM,OXFORD (KIDLINGTON)
OXO,AUSTRALIA,ORIENTOS
OXR,UNITED STATES,VENTURA
OXY,AUSTRALIA,MORNEY
OYA,ARGENTINA,GOYA
OYE,GABON,OYEM
OYG,UGANDA,MOYO
OYK,BRAZIL,OIAPOQUE
OYL,KENYA,MOYALE
OYN,AUSTRALIA,OUYEN
OYO,ARGENTINA,TRES ARROYOS
OYP,FRENCH GUIANA,ST-GEORGES DE LOYAPOCK
OYS,UNITED STATES,YOSEMITE NTL PARK
OZA,UNITED STATES,OZONA MUNICIPAL
OZC,PHILIPPINES,LABO
OZH,UKRAINE,ZAPOROZHYE
OZI,SPAIN,BOBADILLA
OZP,SPAIN,MORON
OZR,UNITED STATES,CAIRNS AAF
OZU,SPAIN,MONTILLA
OZZ,MOROCCO,OUARZAZATE
PAA,MYANMAR,PA-AN
PAB,INDIA,BILASPUR
PAC,PANAMA,PAITILLA-MARCOS A. GELABERT
PAD,GERMANY,PADERBORN/LIPPSTADT
PAE,UNITED STATES,SNOHOMISH COUNTY
PAF,UGANDA,PAKUBA
PAG,PHILIPPINES,PAGADIAN
PAH,UNITED STATES,BARKLEY REGIONAL
PAI,CAMBODIA,PAILIN
PAJ,PAKISTAN,PARA CHINAR
PAK,UNITED STATES,PORT ALLEN
PAL,COLOMBIA,PALANQUERO
PAM,UNITED STATES,TYNDALL AFB
PAN,THAILAND,PATTANI
PAO,UNITED STATES,PALO ALTO
PAP,HAITI,TOUSSAINT LOUVERTURE INTERNATIONAL
PAQ,UNITED STATES,MUNICIPAL
PAS,GREECE,PAROS
PAT,INDIA,PATNA
PAU,MYANMAR,PAUK
PAV,BRAZIL,PAULO AFONSO
PAW,PAPUA NEW GUINEA,PAMBWA
PAX,HAITI,PORT DE PAIX
PAY,MALAYSIA,PAMOL
PAZ,MEXICO,TAJIN
PBA,UNITED STATES,POINT BARROW
PBB,BRAZIL,PARANAIBA
PBC,MEXICO,HERMANOS SERDAN INTERNATIONAL
PBD,INDIA,PORBANDAR
PBE,COLOMBIA,PUERTO BERRIO
PBF,UNITED STATES,GRIDER FIELD
PBG,UNITED STATES,PLATTSBURGH INTERNATIONAL
PBH,BHUTAN,PARO
PBI,UNITED STATES,PALM BEACH INTERNATIONAL
PBJ,VANUATU,PAAMA
PBK,UNITED STATES,PACK CREEK
PBL,VENEZUELA,PUERTO CABELLO
PBM,SURINAME,ZANDERIJ INTL
PBN,ANGOLA,PORTO AMBOIM
PBO,AUSTRALIA,PARABURDOO
PBP,COSTA RICA,PUNTA ISLITA
PBQ,BRAZIL,PIMENTA BUENO
PBR,GUATEMALA,PUERTO BARRIOS
PBS,THAILAND,PATONG BEACH
PBT,PARAGUAY,PUERTO LEDA
PBU,MYANMAR,PUTAO
PBV,BRAZIL,PORTO DOS GAUCHOS
PBW,INDONESIA,PALIBELO
PBX,BRAZIL,PORTO ALEGRE DO NORTE
PBY,AUSTRALIA,HAMILTON/PROSERPINE
PBZ,SOUTH AFRICA,PLETTENBERG BAY
PCA,UNITED STATES,PORTAGE CREEK
PCB,INDONESIA,PONDOK CABE
PCC,COLOMBIA,PUERTO RICO
PCD,UNITED STATES,MUNICIPAL
PCE,UNITED STATES,PAINTER CREEK
PCG,GUATEMALA,PASO CABALLOS
PCH,HONDURAS,PALACIOS
PCJ,PARAGUAY,PUERTO LA VICTORIA
PCK,UNITED STATES,PORCUPINE CREEK
PCL,PERU,CAPTAIN ROLDEN INTERNATIONAL AIRPORT
PCM,MEXICO,PLAYA DEL CARMEN
PCN,NEW ZEALAND (AOTEAROA),KOROMIKO
PCO,MEXICO,PUNTA COLORADA
PCP,SAO TOME AND PRINCIPE,PRINCIPE
PCQ,LAOS,BOUNNEUA
PCR,COLOMBIA,PUERTO CARRENO
PCS,BRAZIL,PICOS
PCT,UNITED STATES,PRINCETON
PCU,UNITED STATES,PEARL RIVER COUNTY
PCV,MEXICO,PUNTA CHIVATO
PDA,COLOMBIA,PUERTO INIRIDA
PDB,UNITED STATES,PEDRO BAY
PDC,NEW CALEDONIA,MUEO
PDD,MOZAMBIQUE,PONTA DE OURO
PDE,AUSTRALIA,PANDIE PANDIE
PDF,BRAZIL,PRADO
PDG,INDONESIA,MINANGKABAU INTERNATIONAL AIRPORT
PDI,PAPUA NEW GUINEA,PINDIU
PDK,UNITED STATES,DEKALB-PEACHTREE
PDL,PORTUGAL,NORDELA (SCO MIGUEL ISLAND)
PDN,AUSTRALIA,PARNDANA
PDO,INDONESIA,PENDOPO
PDP,URUGUAY,CAPITAN CORBETA CA CURBELO INTERNATIONAL
PDR,BRAZIL,MUNICIPAL
PDS,MEXICO,PIEDRAS NEGRAS
PDT,UNITED STATES,PENDLETON
PDU,URUGUAY,PAYSANDU
PDV,BULGARIA,PLOVDIV
PDX,UNITED STATES,PORTLAND INTERNATIONAL
PDZ,VENEZUELA,PEDERNALES
PEA,AUSTRALIA,PENNESHAW
PEB,MOZAMBIQUE,PEBANE
PEC,UNITED STATES,PELICAN SPB
PED,CZECH REPUBLIC,PARDUBICE
PEE,RUSSIAN FEDERATION,PERM
PEF,GERMANY,PEENEMUENDE
PEG,ITALY,SANT EGIDIO
PEH,ARGENTINA,PEHUAJO
PEI,COLOMBIA,MATECANA
PEJ,ITALY,PESCHIEI
PEK,CHINA,BEIJING CAPITAL INT.
PEL,LESOTHO,PELANENG
PEM,PERU,PUERTO MALDONADO
PEN,MALAYSIA,PENANG INTERNATIONAL
PEP,AUSTRALIA,PEPPIMENARTI
PEQ,UNITED STATES,PECOS CITY
PER,AUSTRALIA,PERTH INTERNATIONAL
PES,RUSSIAN FEDERATION,PETROZAVODSK
PET,BRAZIL,FEDERAL
PEU,HONDURAS,PUERTO LEMPIRA
PEW,PAKISTAN,PESHAWAR
PEX,RUSSIAN FEDERATION,PECHORA
PEY,AUSTRALIA,PENONG
PEZ,RUSSIAN FEDERATION,PENZA
PFA,UNITED STATES,PAF WARREN
PFB,BRAZIL,PASSO FUNDO
PFC,UNITED STATES,PACIFIC CITY STATE
PFD,UNITED STATES,PORT FREDERICK
PFJ,ICELAND,PATREKSFJORDUR
PFN,UNITED STATES,BAY COUNTY
PFO,CYPRUS,INTERNATIONAL
PFQ,IRAN,PARSABAD
PFR,ZAIRE,ILEBO
PGA,UNITED STATES,PAGE
PGB,PAPUA NEW GUINEA,PANGOA
PGC,UNITED STATES,GRANT COUNTY
PGD,UNITED STATES,CHARLOTTE COUNTY
PGE,PAPUA NEW GUINEA,YEGEPA
PGF,FRANCE,LLABANERE
PGG,BRAZIL,PROGRESSO
PGH,INDIA,PANTNAGAR
PGI,ANGOLA,CHITATO
PGK,INDONESIA,PANGKALPINANG
PGL,UNITED STATES,JACKSON COUNTY
PGM,UNITED STATES,PORT GRAHAM
PGN,PAPUA NEW GUINEA,PANGIA
PGO,UNITED STATES,STEVENS FIELD
PGP,SAO TOME AND PRINCIPE,PORTO ALEGRE
PGR,UNITED STATES,MUNICIPAL
PGS,UNITED STATES,PEACH SPRINGS
PGV,UNITED STATES,PITT-GREENVILLE
PGX,FRANCE,BASSILLAC
PHA,VIET NAM,PHAN RANG
PHB,BRAZIL,SANTOS DUMONT
PHC,NIGERIA,PORT HARCOURT
PHD,UNITED STATES,HARRY CLEVER
PHE,AUSTRALIA,PORT HEDLAND
PHF,UNITED STATES,NEWPORT NEWS/WILLIAMSB
PHG,NIGERIA,PORT HARCOURT CITY
PHH,VIET NAM,PHAN THIET
PHI,BRAZIL,PINHEIRO
PHJ,AUSTRALIA,PORT HUNTER
PHK,UNITED STATES,PALM BEACH CO GLADES
PHL,UNITED STATES,PHILADELPHIA INTERNATIONAL
PHM,GERMANY,BOEBLINGEN
PHN,UNITED STATES,ST CLAIR COUNTY INTL
PHO,UNITED STATES,POINT HOPE
PHP,UNITED STATES,PHILIP
PHR,FIJI,PACIFIC HARBOR
PHS,THAILAND,PHITSANULOK
PHT,UNITED STATES,HENRY COUNTY
PHU,VIET NAM,PHU VINH
PHW,SOUTH AFRICA,CAPE TOWN
PHX,UNITED STATES,SKY HARBOR INTL
PHY,THAILAND,PHETCHABUN
PHZ,THAILAND,PHI PHI ISLAND
PIA,UNITED STATES,GREATER PEORIA
PIB,UNITED STATES,HATTIESBURG-LAUREL REGIONAL
PIC,TURKS AND CAICOS ISLANDS,PINE CAY
PID,BAHAMAS,PARADISE ISLAND
PIE,UNITED STATES,ST. PETERSBURG-CLEARWATER INTERNATIONAL
PIF,TAIWAN,PINGTUNG
PIG,BRAZIL,PITINGA
PIH,UNITED STATES,POCATELLO
PII,UNITED STATES,PHILLIPS FIELD
PIK,UNITED KINGDOM,PRESTWICK
PIL,PARAGUAY,PILAR
PIM,UNITED STATES,GARDEN HARRIS COUNTY
PIN,BRAZIL,PARINTINS
PIO,PERU,PISCO
PIP,UNITED STATES,PILOT POINT
PIQ,GUYANA,PIPILLIPAI
PIR,UNITED STATES,PIERRE
PIS,FRANCE,BIARD
PIT,UNITED STATES,PITTSBURGH INTERNATIONAL
PIU,PERU,PIURA
PIV,BRAZIL,PIRAPORA
PIW,CANADA,PIKWITONEI
PIX,PORTUGAL,PICO ISLAND
PIZ,UNITED STATES,DEW STATION
PJA,SWEDEN,PAJALA
PJB,UNITED STATES,PAYSON
PJC,PARAGUAY,PEDRO JUAN CABALLERO
PJG,PAKISTAN,PANJGUR
PJM,COSTA RICA,PUERTO JIMENEZ
PJS,UNITED STATES,PORT SAN JUAN
PJZ,MEXICO,PUERTO VALLARTA
PKA,UNITED STATES,SPB
PKB,UNITED STATES,WOOD COUNTY
PKC,RUSSIAN FEDERATION,PETROPAVLOVSK-KAMCHATS
PKD,UNITED STATES,PARK RAPIDS
PKE,AUSTRALIA,PARKES
PKF,UNITED STATES,PARK FALLS
PKG,MALAYSIA,PANGKOR AIRPORT
PKH,GREECE,ALEXION
PKJ,GUATEMALA,PLAYA GRANDE
PKK,MYANMAR,PAKOKKU
PKL,NEW ZEALAND (AOTEAROA),PAKATOA ISLAND
PKM,GUYANA,PORT KAITUMA
PKN,INDONESIA,PANGKALANBUUN
PKO,BENIN,PARAKOU
PKP,FRENCH POLYNESIA,PUKA PUKA
PKR,NEPAL,POKHARA
PKS,LAOS,PAKSANE
PKT,AUSTRALIA,PORT KEATS
PKU,INDONESIA,SULTAN SYARIF KASIM II
PKV,RUSSIAN FEDERATION,PSKOV
PKW,BOTSWANA,SELEBI-PHIKWE
PKY,INDONESIA,PALANGKARAYA
PKZ,LAOS,PAKSE
PLA,COLOMBIA,PLANADAS
PLB,UNITED STATES,CLINTON COUNTY
PLC,COLOMBIA,PLANETA RICA
PLD,COSTA RICA,PLAYA SAMARA
PLE,PAPUA NEW GUINEA,PAIELA
PLF,CHAD,PALA
PLG,FRANCE,LA PLAGNE
PLH,UNITED KINGDOM,PLYMOUTH
PLI,SAINT VINCENT AND THE GRENADIN,PALM ISLAND
PLJ,BELIZE,PLACENCIA
PLK,UNITED STATES,M GRAHAM CLARK
PLL,BRAZIL,PONTA PELADA
PLM,INDONESIA,MAHMUD BADARUDDIN II
PLN,UNITED STATES,EMMET COUNTY
PLO,AUSTRALIA,PORT LINCOLN
PLP,PANAMA,LA PALMA
PLQ,LITHUANIA,PALANGA INTERNATIONAL
PLR,UNITED STATES,ST CLAIR COUNTY
PLS,TURKS AND CAICOS ISLANDS,INTERNATIONAL
PLT,COLOMBIA,PLATO
PLU,BRAZIL,PAMPULHA DOMESTIC
PLV,UKRAINE,POLTAVA
PLW,INDONESIA,MUTIARA
PLX,KAZAKHSTAN,SEMIPALATINSK
PLY,UNITED STATES,PLYMOUTH
PLZ,SOUTH AFRICA,PORT ELIZABETH
PMA,TANZANIA,WAWI
PMB,UNITED STATES,INTERMEDIATE
PMC,CHILE,TEPUAL
PMD,UNITED STATES,LA PALMDALE REGIONAL AIRPORT
PME,UNITED KINGDOM,PORTSMOUTH
PMF,ITALY,GIUSEPPE VERDI
PMG,BRAZIL,INTERNATIONAL
PMH,UNITED STATES,GREATER PORTSMOUTH REGIONAL
PMI,SPAIN,SON SANT JOAN AIRPORT
PMK,AUSTRALIA,PALM ISLAND
PML,UNITED STATES,AFS
PMM,THAILAND,PHANOM SARAKHAM
PMN,PAPUA NEW GUINEA,PUMANI
PMO,ITALY,PUNTA RAISI
PMP,PAPUA NEW GUINEA,PIMAGA
PMQ,ARGENTINA,PERITO MORENO
PMR,NEW ZEALAND (AOTEAROA),PALMERSTON NORTH
PMS,SYRIA,PALMYRA
PMT,GUYANA,PARAMAKOTOI
PMU,UNITED STATES,SPB
PMV,VENEZUELA,DEL CARIBE INTERNATIONAL (GEN. SANTIAGO
PMW,BRAZIL,PALMAS
PMX,UNITED STATES,METROPOLITAN
PMY,ARGENTINA,EL TEHUELCHE
PMZ,COSTA RICA,PALMAR SUR
PNA,SPAIN,PAMPLONA
PNB,BRAZIL,PORTO NACIONAL
PNC,UNITED STATES,PONCA CITY
PND,BELIZE,PUNTA GORDA
PNE,UNITED STATES,NORTH PHILADELPHIA
PNG,BRAZIL,MUNICIPAL
PNH,CAMBODIA,PHNOM PENH INTERNATIONAL
PNI,MICRONESIA,POHNPEI
PNJ,CHINA,PENG LAI/SHA HE KOU
PNK,INDONESIA,SUPADIO
PNL,ITALY,PANTELLERIA
PNN,UNITED STATES,PRINCETON
PNO,MEXICO,PINOTEPA NACIONAL
PNP,PAPUA NEW GUINEA,GIRUA
PNQ,INDIA,LOHEGAON
PNR,CONGO,POINTE NOIRE
PNS,UNITED STATES,REGIONAL
PNT,CHILE,TENIENTE J. GALLARDO
PNU,UNITED STATES,PANGUITCH
PNV,LITHUANIA,PANEVEZYS
PNX,UNITED STATES,GRAYSON COUNTY
PNY,INDIA,PONDICHERRY
PNZ,BRAZIL,INTERNACIONAL
POA,BRAZIL,SALGADO FILHO
POB,UNITED STATES,POPE AFB
POC,UNITED STATES,BRACKETT FIELD
POD,SENEGAL,PODOR
POE,UNITED STATES,POLK AAF
POF,UNITED STATES,EARL FIELDS MEMORIAL
POG,GABON,PORT GENTIL
POH,UNITED STATES,MUNICIPAL
POI,BOLIVIA,POTOSI
POJ,BRAZIL,PATOS DE MINAS
POL,MOZAMBIQUE,PORTO AMELIA
POM,PAPUA NEW GUINEA,JACKSON FLD
PON,GUATEMALA,POPTUN
POO,BRAZIL,POCOS DE CALDAS
POP,DOMINICAN REPUBLIC,LA UNION
POQ,UNITED STATES,POLK INLET
POR,FINLAND,PORI
POS,TRINIDAD AND TOBAGO,PIARCO INTERNATIONAL
POT,JAMAICA,KEN JONES
POU,UNITED STATES,DUTCHESS COUNTY
POV,SLOVAK REPUBLIC,PRESOV
POW,SLOVENIA,PORTOROZ
POX,FRANCE,PARIS CERGY PONTOISE
POY,UNITED STATES,POWELL
POZ,POLAND,LAWICA
PPA,UNITED STATES,PERRY LEFORS FIELD
PPB,BRAZIL,ADHEMAR DE BARROS
PPC,UNITED STATES,PROSPECT CREEK
PPD,PUERTO RICO,PALMAS DEL MAR
PPE,MEXICO,PUERTO PENASCO
PPF,UNITED STATES,TRI-CITY
PPG,AMERICAN SAMOA,INTERNATIONAL
PPH,VENEZUELA,PERAITEPUY
PPI,AUSTRALIA,PORT PIRIE
PPJ,INDONESIA,PULAU PANJANG
PPK,KAZAKHSTAN,PETROPAVLOVSK
PPL,NEPAL,PHAPLU
PPM,UNITED STATES,POMPANO BEACH
PPN,COLOMBIA,MACHANGARA
PPO,BAHAMAS,POWELL POINT
PPP,AUSTRALIA,WHITSUNDAY COAST
PPQ,NEW ZEALAND,PARAPARAUMU
PPR,INDONESIA,PASIR PANGARAYAN
PPS,PHILIPPINES,PUERTO PRINCESA
PPT,FRENCH POLYNESIA,FAAA
PPU,MYANMAR,PAPUN
PPV,UNITED STATES,PORT PROTECTION
PPW,UNITED KINGDOM,PAPA WESTRAY
PPX,PAPUA NEW GUINEA,PARAM
PPY,BRAZIL,POUSO ALEGRE
PPZ,VENEZUELA,PUERTO PAEZ
PQC,VIET NAM,DUONG DONG
PQI,UNITED STATES,MUNICIPAL
PQM,MEXICO,PALENQUE
PQQ,AUSTRALIA,PORT MACQUARIE
PQS,UNITED STATES,PILOT STATION
PQT,DENMARK,HELIPORT
PRA,ARGENTINA,PARANA
PRB,UNITED STATES,PASO ROBLES
PRC,UNITED STATES,PRESCOTT
PRD,AUSTRALIA,PARDOO
PRE,COLOMBIA,PORE
PRF,UNITED STATES,PORT JOHNSON
PRG,CZECH REPUBLIC,PRAGUE - RUZYNE INTERNATIONAL
PRH,THAILAND,PHRAE
PRI,SEYCHELLES,PRASLIN ISLAND
PRJ,ITALY,CAPRI
PRK,SOUTH AFRICA,PRIESKA
PRL,UNITED STATES,PORT OCEANIC
PRM,PORTUGAL,PORTIMAO
PRN,SERBIA,PRISHTINA INTERNATIONAL AIRPORT
PRO,UNITED STATES,MUNICIPAL
PRP,FRANCE,PROPRIANO
PRQ,ARGENTINA,PRES. ROQUE SAENZ PENA
PRR,GUYANA,PARUIMA
PRS,SOLOMON ISLANDS,PARASI
PRT,UNITED STATES,COAST GUARD HELIPORT
PRU,MYANMAR,PROME
PRV,CZECH REPUBLIC,PREROV
PRW,UNITED STATES,PRENTICE
PRX,UNITED STATES,COX FIELD
PRY,SOUTH AFRICA,WONDERBOOM APT.
PRZ,UNITED STATES,PRINEVILLE
PSA,ITALY,GALILEO GALILEI
PSB,UNITED STATES,BELLEFONTE
PSC,UNITED STATES,TRI-CITIES
PSD,EGYPT,PORT SAID
PSE,PUERTO RICO,MERCEDITA
PSF,UNITED STATES,PITTSFIELD
PSG,UNITED STATES,PETERSBURG JAMES A JOHNSON
PSH,GERMANY,ST PETER
PSI,PAKISTAN,PASNI
PSJ,INDONESIA,POSO
PSK,UNITED STATES,NEW RIVER VALLEY
PSL,UNITED KINGDOM,PERTH
PSM,UNITED STATES,PEASE INTERNATIONAL
PSN,UNITED STATES,PALESTINE MUNICIPAL AIRPORT
PSO,COLOMBIA,CANO
PSP,UNITED STATES,MUNICIPAL
PSQ,UNITED STATES,SPB
PSR,ITALY,LIBERI
PSS,ARGENTINA,POSADAS
PSU,INDONESIA,PUTUSSIBAU
PSV,UNITED KINGDOM,PAPA STOUR
PSW,BRAZIL,PASSOS
PSX,UNITED STATES,PALACIOS
PSY,FALKLAND ISLANDS (MALVINAS),PORT STANLEY
PSZ,BOLIVIA,PUERTO SUAREZ
PTA,UNITED STATES,PORT ALSWORTH
PTB,UNITED STATES,DINWIDDIE COUNTY AIRPORT
PTC,UNITED STATES,PORT ALICE
PTD,UNITED STATES,PORT ALEXANDER
PTE,AUSTRALIA,PORT STEPHENS
PTF,FIJI,MALOLOLAILAI
PTG,SOUTH AFRICA,POLOKWANE
PTH,UNITED STATES,PORT HEIDEN
PTI,AUSTRALIA,PORT DOUGLAS
PTJ,AUSTRALIA,PORTLAND
PTK,UNITED STATES,PONTIAC
PTL,UNITED STATES,PORT ARMSTRONG
PTM,VENEZUELA,PALMARITO
PTN,UNITED STATES,WILLIAMS MEMORIAL
PTO,BRAZIL,MUNICIPAL
PTP,GUADELOUPE,LE RAIZET
PTQ,BRAZIL,PORTO DE MOZ
PTR,UNITED STATES,PLEASANT HARBOUR
PTS,UNITED STATES,MUNICIPAL
PTT,UNITED STATES,PRATT
PTU,UNITED STATES,PLATINUM
PTV,UNITED STATES,PORTERVILLE
PTW,UNITED STATES,POTTSTOWN/LIMERICK
PTX,COLOMBIA,PITALITO
PTY,PANAMA,TOCUMEN INTERNATIONAL
PTZ,ECUADOR,PASTAZA
PUA,PAPUA NEW GUINEA,PUAS
PUB,UNITED STATES,MEMORIAL
PUC,UNITED STATES,CARBON COUNTY
PUD,ARGENTINA,PUERTO DESEADO
PUE,PANAMA,PUERTO OBALDIA
PUF,FRANCE,PAU-PYRENEES
PUG,AUSTRALIA,PORT AUGUSTA
PUH,MEXICO,POCHUTLA
PUI,PAPUA NEW GUINEA,PURENI
PUJ,DOMINICAN REPUBLIC,PUNTA CANA INTERNATIONAL
PUK,FRENCH POLYNESIA,PUKARUA
PUL,UNITED STATES,POULSBO
PUM,INDONESIA,POMALA
PUN,ZAIRE,PUNIA
PUO,UNITED STATES,PRUDHOE BAY
PUP,BURKINA FASO,PO
PUQ,CHILE,PRES IBANEZ
PUR,BOLIVIA,PUERTO RICO
PUS,KOREA (SOUTH),GIMHAE
PUT,INDIA,PUTTAPRATHE
PUU,COLOMBIA,PUERTO ASIS
PUV,NEW CALEDONIA,POUM
PUW,UNITED STATES,PULLMAN-MOSCOW REGIONAL AIRPORT
PUX,CHILE,PUERTO VARAS
PUY,CROATIA (HRVATSKA),PULA
PUZ,NICARAGUA,PUERTO CABEZAS
PVA,COLOMBIA,PROVIDENCIA
